gene	colon epithelial cell	endothelial cell of artery	endothelial cell of lymphatic vessel	enteric neuron	enteric smooth muscle cell	enterocyte	enteroendocrine cell	epithelial cell	erythroblast	fibroblast	hematopoietic cell	interstitial cell of Cajal	intestine goblet cell	mesodermal cell	mesothelial cell	myofibroblast cell	neural crest cell	pericyte	progenitor cell	stem cell	vein endothelial cell
ENSG00000239945	0.0004	0.0000	0.0000	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0004
DDX11L17	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
WASH9P	0.2715	0.2872	0.2586	0.4390	0.3261	0.2194	0.2618	0.3293	0.0604	0.3872	0.2716	0.4244	0.2269	0.4541	0.3611	0.3680	0.4035	0.4001	0.2935	0.2270	0.2845
ENSG00000228463	0.1742	0.4158	0.3024	0.2881	0.3589	0.1150	0.1625	0.1532	0.0447	0.4097	0.2570	0.5006	0.1038	0.3459	0.1914	0.6214	0.2696	0.6428	0.1524	0.1120	0.3343
ENSG00000237094	0.0053	0.0011	0.0358	0.0086	0.0165	0.0026	0.0065	0.0056	0.0011	0.0234	0.0077	0.0251	0.0007	0.0206	0.0129	0.0173	0.0104	0.0501	0.0026	0.0067	0.0119
ENSG00000230021	0.0004	0.0005	0.0000	0.0000	0.0009	0.0001	0.0000	0.0000	0.0000	0.0010	0.0000	0.0048	0.0000	0.0011	0.0002	0.0014	0.0006	0.0032	0.0000	0.0000	0.0011
ENSG00000229905	0.0001	0.0000	0.0032	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007
LINC01409	0.0321	0.0258	0.0192	0.0458	0.0451	0.0158	0.0332	0.0252	0.0087	0.0536	0.0371	0.0150	0.0251	0.0575	0.0578	0.0302	0.0453	0.0639	0.0225	0.0122	0.0195
FAM87B	0.0003	0.0019	0.0000	0.0001	0.0057	0.0001	0.0000	0.0000	0.0000	0.0108	0.0008	0.0023	0.0000	0.0074	0.0014	0.0078	0.0000	0.0062	0.0000	0.0000	0.0011
LINC00115	0.0371	0.0124	0.0026	0.0224	0.0188	0.0213	0.0231	0.0205	0.0113	0.0288	0.0176	0.0341	0.0279	0.0271	0.0554	0.0224	0.0190	0.0368	0.0245	0.0137	0.0209
FAM41C	0.0127	0.0148	0.0383	0.0176	0.0341	0.0060	0.0169	0.0052	0.0066	0.0086	0.0270	0.0213	0.0103	0.0153	0.0363	0.0124	0.0176	0.0163	0.0112	0.0079	0.0167
ENSG00000272438	0.0000	0.0000	0.0000	0.0006	0.0012	0.0002	0.0000	0.0000	0.0000	0.0013	0.0000	0.0000	0.0000	0.0006	0.0004	0.0011	0.0008	0.0000	0.0000	0.0000	0.0002
LINC02593	0.0000	0.0019	0.0000	0.0520	0.0199	0.0002	0.0060	0.0000	0.0015	0.0228	0.0000	0.0031	0.0000	0.0060	0.0266	0.0212	0.0023	0.0061	0.0006	0.0015	0.0040
SAMD11	0.0057	0.0087	0.0220	0.7039	0.2947	0.0042	0.0768	0.0195	0.0133	0.2109	0.0125	0.0318	0.0022	0.0848	0.2106	0.3046	0.0454	0.0437	0.0031	0.0162	0.0411
NOC2L	0.4494	0.4765	0.3651	0.6729	0.4943	0.4128	0.4297	0.4271	0.0767	0.4220	0.3229	0.4804	0.3924	0.4426	0.4237	0.4495	0.5410	0.3823	0.4352	0.4731	0.4817
KLHL17	0.0088	0.0141	0.0021	0.0485	0.0163	0.0032	0.0139	0.0000	0.0032	0.0117	0.0123	0.0125	0.0020	0.0198	0.0217	0.0105	0.0196	0.0086	0.0099	0.0052	0.0074
PLEKHN1	0.0013	0.0000	0.0000	0.0016	0.0007	0.0005	0.0000	0.0000	0.0000	0.0019	0.0007	0.0000	0.0000	0.0011	0.2540	0.0000	0.0003	0.0000	0.0058	0.0006	0.0000
PERM1	0.0000	0.0000	0.0000	0.0004	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0070	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000
ENSG00000272512	0.0034	0.0300	0.0000	0.0039	0.0038	0.0011	0.0033	0.0000	0.0016	0.0173	0.0000	0.0026	0.0012	0.0049	0.0039	0.0011	0.0105	0.0451	0.0031	0.0014	0.0017
HES4	0.2358	2.0718	0.1874	0.5461	0.4704	0.1113	0.1447	0.1050	0.0606	1.3208	0.0749	0.4680	0.1507	0.6120	0.3860	0.3451	0.8327	4.6543	0.1320	0.1346	0.2975
ISG15	0.1056	1.5713	0.7631	0.1469	0.7670	0.1208	0.1087	0.1282	0.0742	0.6462	0.8049	0.7022	0.0762	0.6094	0.2843	0.5964	0.1324	0.7932	0.1130	0.0614	1.0332
ENSG00000224969	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AGRN	0.4567	1.0164	0.1567	0.3601	0.1459	0.1746	0.1487	0.2156	0.0400	0.5281	0.0485	0.7851	0.1678	0.3108	0.9496	0.1482	0.4272	1.2051	0.2078	0.1736	0.8011
