gene	cell_state	score	margin
ABCC3	colon epithelial cell	0.5192	0.3510
AGR3	colon epithelial cell	6.9785	0.9267
AKAP1	colon epithelial cell	1.2121	0.3705
AKAP7	colon epithelial cell	1.8964	1.4369
ANG	colon epithelial cell	1.1987	0.4625
ARID3A	colon epithelial cell	2.9626	1.3270
BSG	colon epithelial cell	6.0894	0.4503
C15orf48	colon epithelial cell	1.1970	0.8024
C19orf33	colon epithelial cell	7.2619	3.5193
CA12	colon epithelial cell	1.1342	1.0277
CD164	colon epithelial cell	3.5448	1.0701
CDH1	colon epithelial cell	1.1731	0.2893
CDH17	colon epithelial cell	2.6777	0.6235
CDX1	colon epithelial cell	2.5387	0.5011
CKB	colon epithelial cell	26.3437	16.5599
CLINT1	colon epithelial cell	0.9434	0.2989
CLN3	colon epithelial cell	0.6275	0.3118
COL2A1	colon epithelial cell	2.1685	0.9177
COX6A1	colon epithelial cell	7.6226	0.8099
CYB5A	colon epithelial cell	2.4452	0.2553
DSC2	colon epithelial cell	0.7812	0.2754
DSG2	colon epithelial cell	1.3821	0.3489
ELF3	colon epithelial cell	4.8556	0.9166
ENSG00000279483	colon epithelial cell	6.4525	0.3346
ERBB2	colon epithelial cell	0.8339	0.4106
ETHE1	colon epithelial cell	2.2475	0.8366
ETV4	colon epithelial cell	0.9451	0.4412
FGFR4	colon epithelial cell	0.8992	0.3301
FOLR1	colon epithelial cell	0.6555	0.3873
FOXD2	colon epithelial cell	0.5075	0.4789
FXYD3	colon epithelial cell	5.4796	3.0695
GJB1	colon epithelial cell	1.2850	0.3332
GMNN	colon epithelial cell	1.3009	0.4625
GOLM1	colon epithelial cell	3.9499	1.3031
GPC3	colon epithelial cell	7.7775	3.0433
HINT1	colon epithelial cell	13.2750	0.4046
IDH1	colon epithelial cell	2.2684	0.5255
IHH	colon epithelial cell	1.2535	0.7875
KIF12	colon epithelial cell	0.9399	0.2600
KLF5	colon epithelial cell	7.2643	3.5801
KRT19	colon epithelial cell	9.2598	0.9115
LCN15	colon epithelial cell	5.8612	5.7311
LGALS3	colon epithelial cell	18.1522	2.9309
LGR4	colon epithelial cell	0.8098	0.4138
MMEL1-AS1	colon epithelial cell	0.6458	0.5067
MPC2	colon epithelial cell	6.4274	1.3165
MRPS26	colon epithelial cell	2.2403	0.2606
NET1	colon epithelial cell	1.5912	0.5494
NFATC3	colon epithelial cell	0.6964	0.2921
ODC1	colon epithelial cell	4.6188	1.8335
PAPSS2	colon epithelial cell	0.6388	0.3938
PHPT1	colon epithelial cell	4.7666	0.3619
PPDPF	colon epithelial cell	14.4377	2.7004
PRAC1	colon epithelial cell	1.6365	1.6236
PRDX4	colon epithelial cell	2.6223	0.8223
PRDX6	colon epithelial cell	5.3211	0.7857
PYY	colon epithelial cell	1.8398	1.2891
RPL41	colon epithelial cell	104.4121	13.2588
RPS21	colon epithelial cell	23.1521	3.6348
RPS29	colon epithelial cell	47.9081	2.8939
S100A10	colon epithelial cell	36.8254	4.3418
SATB2	colon epithelial cell	0.7944	0.7106
SDC4	colon epithelial cell	1.0036	0.4891
SEMA4G	colon epithelial cell	0.7047	0.3291
SIRT2	colon epithelial cell	0.8932	0.2802
SLC13A2	colon epithelial cell	0.6010	0.4416
SLC26A2	colon epithelial cell	1.9102	0.8785
SLC44A1	colon epithelial cell	1.8349	1.0488
SOX9	colon epithelial cell	1.1339	0.5268
SPINT1	colon epithelial cell	1.7558	0.5668
SPINT2	colon epithelial cell	6.5360	1.6367
SQOR	colon epithelial cell	0.5279	0.2705
TMEM256	colon epithelial cell	4.6759	0.8457
TSPAN8	colon epithelial cell	16.0175	0.4226
TUBB4B	colon epithelial cell	3.5472	0.3685
VTN	colon epithelial cell	2.9622	1.2506
ZFP36L2	colon epithelial cell	7.2160	1.9350
A2M	endothelial cell of artery	9.8699	5.4406
ABHD17A	endothelial cell of artery	1.6177	0.7669
ABL2	endothelial cell of artery	0.6711	0.3397
ABLIM1	endothelial cell of artery	0.7626	0.4291
ACE	endothelial cell of artery	0.8815	0.8058
ACTG1	endothelial cell of artery	62.3347	6.1869
ACTN4	endothelial cell of artery	3.7362	1.6433
ACVRL1	endothelial cell of artery	2.5270	0.8784
ADAM15	endothelial cell of artery	5.9286	3.0343
ADAM19	endothelial cell of artery	0.8161	0.4765
ADAMTS9	endothelial cell of artery	2.4998	1.5929
ADCY4	endothelial cell of artery	1.0208	0.4588
ADGRF5	endothelial cell of artery	2.1060	1.3964
ADGRL4	endothelial cell of artery	4.1365	3.0895
ADM	endothelial cell of artery	2.1211	1.1660
AFAP1L1	endothelial cell of artery	2.0451	0.9577
AK1	endothelial cell of artery	1.4304	0.4157
ALPL	endothelial cell of artery	0.8008	0.6914
APBB2	endothelial cell of artery	0.5456	0.2566
APH1A	endothelial cell of artery	1.6206	0.3036
APLN	endothelial cell of artery	1.1210	0.8630
APLP2	endothelial cell of artery	3.8717	0.7147
APOLD1	endothelial cell of artery	1.3953	0.4423
APP	endothelial cell of artery	4.5777	0.5564
AQP1	endothelial cell of artery	3.4806	2.9262
ARGLU1	endothelial cell of artery	5.0446	2.2118
ARHGAP18	endothelial cell of artery	2.0410	0.3273
ARHGAP29	endothelial cell of artery	4.1750	1.1647
ARHGDIA	endothelial cell of artery	2.0126	0.4753
ARHGEF1	endothelial cell of artery	0.7342	0.2576
ARHGEF2	endothelial cell of artery	1.0527	0.4728
ARHGEF7	endothelial cell of artery	1.0499	0.3445
ARL15	endothelial cell of artery	1.3502	1.1026
ARL6IP4	endothelial cell of artery	3.5067	0.4641
ARPC5L	endothelial cell of artery	1.4003	0.4234
ASAP2	endothelial cell of artery	0.5644	0.3403
ATP1B3	endothelial cell of artery	3.3393	1.2513
ATP5PF	endothelial cell of artery	5.6138	0.7694
ATP6AP1	endothelial cell of artery	1.2285	0.5683
AZIN1	endothelial cell of artery	1.0229	0.3718
B3GNT2	endothelial cell of artery	0.5029	0.3133
BCAP31	endothelial cell of artery	1.8573	0.3449
BCL6B	endothelial cell of artery	1.2666	0.2884
BHLHE40	endothelial cell of artery	0.9912	0.3865
