gene	tau	top_cell_state	top_expr	n_states
ENSG00000239945	0.8671	progenitor cell	0.0004	21
DDX11L17	1.0000	enteric smooth muscle cell	0.0001	21
WASH9P	0.3283	mesodermal cell	0.4541	21
ENSG00000228463	0.5867	pericyte	0.6428	21
ENSG00000237094	0.7783	pericyte	0.0501	21
ENSG00000230021	0.8914	interstitial cell of Cajal	0.0048	21
ENSG00000229905	0.9795	endothelial cell of lymphatic vessel	0.0032	21
LINC01409	0.5094	pericyte	0.0639	21
FAM87B	0.8366	fibroblast	0.0108	21
LINC00115	0.6010	mesothelial cell	0.0554	21
FAM41C	0.5885	endothelial cell of lymphatic vessel	0.0383	21
ENSG00000272438	0.8000	fibroblast	0.0013	21
LINC02593	0.8811	enteric neuron	0.0520	21
SAMD11	0.8969	enteric neuron	0.7039	21
NOC2L	0.3774	enteric neuron	0.6729	21
KLHL17	0.7908	enteric neuron	0.0485	21
PLEKHN1	0.9972	mesothelial cell	0.2540	21
PERM1	0.9923	mesothelial cell	0.0070	21
ENSG00000272512	0.8950	pericyte	0.0451	21
HES4	0.9067	pericyte	4.6543	21
ISG15	0.7433	endothelial cell of artery	1.5713	21
ENSG00000224969	0.9749	fibroblast	0.0009	21
AGRN	0.6987	pericyte	1.2051	21
RNF223	0.9121	colon epithelial cell	0.0159	21
C1orf159	0.2633	neural crest cell	0.0808	21
LINC01342	0.8877	colon epithelial cell	0.0014	21
ENSG00000272141	0.8045	enteroendocrine cell	0.0606	21
TTLL10-AS1	0.9293	mesothelial cell	0.0024	21
TTLL10	0.9008	enteroendocrine cell	0.0215	21
TNFRSF18	0.8831	hematopoietic cell	0.0426	21
TNFRSF4	0.9762	endothelial cell of artery	2.0038	21
SDF4	0.4145	endothelial cell of artery	1.3934	21
B3GALT6	0.5045	endothelial cell of artery	0.1554	21
C1QTNF12	0.8604	enterocyte	0.1153	21
ENSG00000260179	0.9166	myofibroblast cell	0.0006	21
UBE2J2	0.2714	pericyte	0.4972	21
LINC01786	0.8127	enteric neuron	0.0077	21
SCNN1D	0.6310	enteric neuron	0.0224	21
ACAP3	0.8035	enteric neuron	0.8022	21
PUSL1	0.4313	epithelial cell	0.2210	21
INTS11	0.2649	mesothelial cell	0.6280	21
CPTP	0.5734	endothelial cell of lymphatic vessel	0.2960	21
TAS1R3	0.8689	pericyte	0.0047	21
DVL1	0.3686	colon epithelial cell	0.1014	21
MXRA8	0.6111	myofibroblast cell	1.0838	21
AURKAIP1	0.3049	intestine goblet cell	2.3430	21
CCNL2	0.3658	endothelial cell of artery	0.7074	21
MRPL20	0.1608	myofibroblast cell	1.6483	21
MRPL20-DT	0.7301	interstitial cell of Cajal	0.0102	21
ANKRD65	0.8613	enteroendocrine cell	0.1851	21
ANKRD65-AS1	0.9899	neural crest cell	0.0005	21
LINC01770	0.8807	myofibroblast cell	0.0239	21
VWA1	0.7711	myofibroblast cell	0.7433	21
ATAD3C	0.6508	endothelial cell of lymphatic vessel	0.0294	21
ATAD3B	0.3569	vein endothelial cell	0.1196	21
ATAD3A	0.3242	vein endothelial cell	0.2508	21
TMEM240	0.5832	mesothelial cell	0.0088	21
SSU72	0.2290	endothelial cell of artery	1.3737	21
SSU72-AS1	0.5986	mesodermal cell	0.0604	21
FNDC10	0.7124	hematopoietic cell	0.0285	21
ENSG00000272106	0.5382	mesodermal cell	0.3119	21
MIB2	0.4399	mesothelial cell	0.2752	21
MMP23B	0.9095	mesothelial cell	1.3481	21
CDK11B	0.4766	endothelial cell of artery	0.5027	21
ENSG00000272004	0.7439	epithelial cell	0.0105	21
SLC35E2B	0.4813	enteric neuron	0.5850	21
ENSG00000269737	0.5511	endothelial cell of artery	0.0029	21
CDK11A	0.5405	vein endothelial cell	0.3074	21
SLC35E2A	0.6245	enteric neuron	0.0739	21
NADK	0.5011	hematopoietic cell	0.3490	21
GNB1	0.5106	endothelial cell of artery	1.4115	21
GNB1-DT	0.5637	enterocyte	0.0168	21
CALML6	0.9861	pericyte	0.0356	21
TMEM52	0.7603	enterocyte	0.1540	21
CFAP74	0.7646	endothelial cell of artery	0.0163	21
ENSG00000233542	0.8626	endothelial cell of artery	0.0126	21
GABRD	0.8887	endothelial cell of artery	0.0931	21
PRKCZ-DT	0.9201	stem cell	0.0027	21
PRKCZ	0.5978	enterocyte	0.4877	21
ENSG00000271806	0.6826	endothelial cell of lymphatic vessel	0.0348	21
PRKCZ-AS1	0.7245	myofibroblast cell	0.0357	21
