gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	colon endothelial cell	colon macrophage	enterochromaffin-like cell	enterocyte of epithelium of large intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of colon	large intestine goblet cell	mast cell	mature NK T cell	monocyte	myeloid dendritic cell	myeloid leukocyte	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	paneth cell of colon	plasma cell	regulatory T cell	transit amplifying cell of colon	tuft cell of colon	type L enteroendocrine cell
TSPAN6	0.0044	0.1072	0.0042	0.0052	0.8370	0.0000	0.0910	0.4153	0.1230	0.1016	0.0019	0.0000	1.1534	0.1644	0.0021	0.0000	0.0000	0.0000	0.0000	0.0732	0.0064	0.0000	2.0020	0.0019	0.0080	0.4962	0.0692	0.1607
TNMD	0.0000	0.0036	0.0000	0.0012	0.0237	0.0000	0.0000	0.0051	0.0000	0.0554	0.0000	0.0000	0.0087	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0023	0.0000	0.0000	0.0047	0.0000	0.0000
DPM1	0.5282	0.3104	0.6330	0.6228	0.7435	0.3836	0.2458	0.3197	0.6830	0.5037	0.7102	0.4354	0.4412	0.3520	0.3696	0.4453	0.4325	0.3190	0.3900	0.5796	1.0220	0.5587	0.5117	0.3250	0.6868	0.4479	0.3163	0.4008
SCYL3	0.1952	0.1211	0.1430	0.1260	0.0832	0.0999	0.1396	0.2204	0.0711	0.1240	0.2280	0.2851	0.1011	0.2155	0.0677	0.2527	0.0095	0.0391	0.0974	0.0283	0.1595	0.0000	0.1070	0.1125	0.2316	0.1692	0.5190	0.2429
FIRRM	0.1537	0.0316	0.0414	0.0470	0.0396	0.0984	0.0951	0.0281	0.0242	0.0421	0.0434	0.0000	0.0252	0.0409	0.0171	0.0342	0.0474	0.0240	0.1364	0.0000	0.7997	0.0855	0.0064	0.0344	0.3802	0.1036	0.0374	0.0249
FGR	0.0495	0.0013	0.0028	0.0080	0.2027	0.6578	0.0000	0.0007	0.0027	0.0098	0.0178	0.0000	0.0017	0.0011	0.0971	0.0226	3.6973	0.6362	0.8739	0.0031	0.0000	0.6784	0.0000	0.0464	0.0033	0.0000	0.0006	0.0000
CFH	0.0010	0.0014	0.0593	0.0095	0.3062	0.0426	0.0000	0.0033	0.0511	1.1801	0.0079	0.0000	0.0083	0.0000	0.0000	0.0000	0.0123	0.0368	0.0253	0.0219	0.0141	0.0000	0.0000	0.0006	0.0027	0.0107	0.0002	0.0000
FUCA2	0.0577	0.1444	0.0354	0.0436	0.3226	0.5519	0.1151	0.2019	0.1500	0.4168	0.0893	0.0000	0.4565	0.1272	0.2547	0.4886	0.1507	0.2400	0.1336	0.0795	0.0146	0.1134	0.8448	0.2298	0.0394	0.3961	0.1153	0.2035
GCLC	0.3271	0.5537	0.3089	0.3155	0.4633	1.4773	7.7960	0.5268	0.2354	0.6035	0.4349	0.5118	0.3033	0.5897	0.2939	0.4870	0.1189	1.6491	1.5135	0.1442	0.2937	0.1709	0.1976	0.0820	0.2719	0.5353	0.5005	4.7245
NFYA	0.2672	0.2337	0.2420	0.2063	0.4147	0.2212	0.8595	0.2680	0.2728	0.2688	0.2145	0.5566	0.1282	0.3697	0.2422	0.1943	0.3421	0.0984	0.3447	0.1820	0.4044	0.2077	0.2293	0.1213	0.2675	0.2077	0.2813	0.3112
STPG1	0.0570	0.1315	0.0714	0.0633	0.0507	0.0071	0.2853	0.2070	0.0051	0.0520	0.0678	0.0000	0.0795	0.2944	0.0288	0.1254	0.0053	0.0125	0.0013	0.0466	0.0385	0.0000	0.0583	0.0439	0.0642	0.1884	0.1133	0.0762
NIPAL3	0.2305	0.2280	0.3753	0.4016	0.1770	0.0635	0.0841	0.2472	0.1253	0.0833	0.4821	0.2135	0.1649	0.2752	0.0747	0.1922	0.0125	0.0000	0.0664	0.0962	0.7076	0.5302	0.3069	0.2379	0.6105	0.2794	0.6380	0.2472
LAS1L	0.2168	0.0641	0.1659	0.1621	0.2180	0.1116	0.0152	0.0531	0.1832	0.1765	0.1814	0.0000	0.1426	0.0833	0.1647	0.1455	0.0238	0.1221	0.0999	0.0844	0.2370	0.2972	0.1385	0.1288	0.1658	0.2159	0.1181	0.1888
ENPP4	0.1734	0.1344	0.1007	0.1420	0.2754	0.1712	0.0526	0.1203	0.1077	0.0209	0.1160	0.0000	0.1026	0.1489	0.4219	0.0299	0.2835	0.2364	0.0988	0.4337	0.0664	0.3964	0.1035	0.0368	0.0535	0.0908	0.4387	0.1346
SEMA3F	0.0017	0.0079	0.0077	0.0023	0.3707	0.0024	0.0000	0.0121	0.0013	0.0083	0.0047	0.0000	0.0104	0.1217	0.0000	0.0000	0.0339	0.0000	0.0141	0.0417	0.0000	0.0000	0.0130	0.0013	0.0000	0.0446	0.0522	0.0740
CFTR	0.0074	0.1275	0.0040	0.0030	0.0190	0.0417	0.2511	1.4089	0.0000	0.0096	0.0059	0.0000	1.4912	0.1412	0.2449	0.0240	0.0123	0.0000	0.1364	0.0003	0.0114	0.0000	0.9125	0.0052	0.0079	1.6292	0.5578	0.0000
ANKIB1	1.3945	0.8314	1.1753	1.0474	0.7796	0.8528	1.1636	0.4262	0.5984	0.6579	1.3897	1.1323	0.3912	0.8160	0.6890	0.9901	0.3804	0.4788	0.8798	0.7234	2.0112	1.4009	0.2302	0.9611	1.5897	0.6682	0.9713	0.9678
CYP51A1	0.0594	0.0984	0.0846	0.1023	0.0601	0.0196	0.1676	0.1211	0.0341	0.1022	0.0944	0.5301	0.1536	0.0715	0.0678	0.0991	0.0078	0.0256	0.0209	0.1477	0.0250	0.1562	0.1455	0.0834	0.0428	0.1397	0.1328	0.1646
KRIT1	0.3431	0.1726	0.2291	0.1799	0.3285	0.2757	0.2685	0.1428	0.1822	0.2511	0.2267	0.6168	0.1311	0.2263	0.2470	0.2567	0.2002	0.0712	0.3344	0.0510	0.3558	0.0000	0.1366	0.1584	0.3055	0.1639	0.2228	0.3374
RAD52	0.1730	0.1097	0.1028	0.0871	0.1184	0.0828	0.4439	0.2679	0.1736	0.1621	0.0888	0.2135	0.0636	0.1806	0.0554	0.1635	0.0573	0.0498	0.1144	0.2814	0.1828	0.0000	0.1410	0.0652	0.1295	0.1589	0.3119	0.2043
BAD	0.1144	0.5713	0.2010	0.2680	0.2988	0.1491	0.4366	0.4844	0.3457	0.3738	0.1869	0.0000	0.7980	0.4265	0.2126	0.2065	0.0883	0.1449	0.0544	0.3586	0.0341	0.1152	0.7054	0.1190	0.1321	0.5748	0.1299	0.5037
