gene	cell_state	score	margin
ADAM28	B cell	11.2454	7.2169
ADAM7-AS1	B cell	7.8871	5.7329
ADAMTS6	B cell	1.0744	0.6931
AIM2	B cell	0.7851	0.5737
ANKRD13A	B cell	2.5144	1.3095
ANKRD44	B cell	15.0530	3.4330
ARHGAP24	B cell	13.1543	9.2773
ARHGAP25	B cell	3.8190	2.1464
ARHGAP30	B cell	1.1282	0.2777
ARID5B	B cell	17.7916	8.0512
BANK1	B cell	16.8906	16.4105
BCL11A	B cell	4.1499	3.2411
BLK	B cell	3.5045	2.9434
C12orf42	B cell	2.4390	2.0013
CAMKK1	B cell	0.6350	0.3080
CCDC50	B cell	1.8847	0.6205
CD22	B cell	1.3740	0.8241
CD37	B cell	4.9565	2.8546
CD47	B cell	1.5647	0.2693
CD52	B cell	5.2475	1.9305
CD70	B cell	1.4493	1.1928
CD79A	B cell	4.9484	2.1190
CHPT1	B cell	5.1410	1.6654
CLECL1P	B cell	1.2390	0.2907
CMTM7	B cell	2.6988	0.8352
CNTRL	B cell	2.5059	0.8035
COL19A1	B cell	0.8270	0.7126
COL4A3	B cell	1.0841	0.5069
CXCR5	B cell	0.6789	0.4320
CYFIP2	B cell	1.9297	0.4051
DTNBP1	B cell	1.3731	0.4856
EBF1	B cell	10.0924	5.4729
ENSG00000226571	B cell	2.2851	1.7953
ENSG00000227486	B cell	2.1545	0.8801
ENSG00000251309	B cell	2.0290	1.7685
ENSG00000285639	B cell	1.0982	0.9227
ENSG00000289963	B cell	0.5282	0.3461
FBXW11	B cell	2.8734	0.6688
FCHSD2	B cell	5.0841	1.1745
FCRL1	B cell	2.7590	2.6323
GGA2	B cell	1.5714	0.4200
GIT2	B cell	1.5303	0.6197
GNB5	B cell	2.4572	0.7466
GNG7	B cell	17.1381	8.2294
GRAMD1C	B cell	1.2595	0.9332
HHAT	B cell	0.5818	0.3298
HIPK2	B cell	11.7339	2.2898
HVCN1	B cell	1.5254	1.0687
IGHD	B cell	1.7230	1.5578
INPP5A	B cell	3.6061	1.1289
INPP5D	B cell	6.8999	0.3393
ITSN2	B cell	5.1754	0.3594
JADE3	B cell	1.4051	0.9887
KHDRBS2	B cell	1.6394	1.0734
LARGE1	B cell	4.2943	0.8701
LIMD2	B cell	1.3589	0.3411
LINC00426	B cell	0.9743	0.5909
LINC00926	B cell	1.6208	1.3942
LINC01320	B cell	0.9700	0.4714
LINC01781	B cell	0.7917	0.6986
LINC02161	B cell	0.5833	0.5191
LINC02397	B cell	0.8703	0.8298
LIX1-AS1	B cell	0.8926	0.5922
LY86-AS1	B cell	0.5832	0.5365
LY9	B cell	11.6974	10.4422
