gene	tau	top_cell_state	top_expr	n_states
TSPAN6	0.9292	paneth cell of colon	2.0020	28
TNMD	0.9670	fibroblast	0.0554	28
DPM1	0.5399	naive thymus-derived CD4-positive, alpha-beta T cell	1.0220	28
SCYL3	0.7381	tuft cell of colon	0.5190	28
FIRRM	0.9239	naive thymus-derived CD4-positive, alpha-beta T cell	0.7997	28
FGR	0.9668	monocyte	3.6973	28
CFH	0.9807	fibroblast	1.1801	28
FUCA2	0.7733	paneth cell of colon	0.8448	28
GCLC	0.9162	enterochromaffin-like cell	7.7960	28
NFYA	0.6941	enterochromaffin-like cell	0.8595	28
STPG1	0.7635	large intestine goblet cell	0.2944	28
NIPAL3	0.6627	naive thymus-derived CD4-positive, alpha-beta T cell	0.7076	28
LAS1L	0.5506	natural killer cell	0.2972	28
ENPP4	0.6578	tuft cell of colon	0.4387	28
SEMA3F	0.9545	colon endothelial cell	0.3707	28
CFTR	0.8767	transit amplifying cell of colon	1.6292	28
ANKIB1	0.5656	naive thymus-derived CD4-positive, alpha-beta T cell	2.0112	28
CYP51A1	0.8304	innate lymphoid cell	0.5301	28
KRIT1	0.6518	innate lymphoid cell	0.6168	28
RAD52	0.6880	enterochromaffin-like cell	0.4439	28
BAD	0.6641	intestinal crypt stem cell of colon	0.7980	28
LAP3	0.6868	colon endothelial cell	1.3102	28
CD99	0.9399	myofibroblast cell	0.0039	28
HS3ST1	0.8461	colon macrophage	0.3602	28
AOC1	0.8788	BEST4+ enterocyte	1.9535	28
WNT16	0.9233	innate lymphoid cell	0.0677	28
HECW1	0.9154	fibroblast	0.1184	28
MAD1L1	0.8424	mast cell	0.0325	28
LASP1	0.7114	tuft cell of colon	1.9571	28
SNX11	0.6686	myofibroblast cell	0.2923	28
TMEM176A	0.8331	enteroglial cell	2.4180	28
M6PR	0.7245	colon macrophage	1.5488	28
KLHL13	0.9486	innate lymphoid cell	1.7873	28
CYP26B1	0.8743	colon macrophage	0.0744	28
ICA1	0.8526	enterochromaffin-like cell	3.0196	28
DBNDD1	0.8231	naive thymus-derived CD4-positive, alpha-beta T cell	0.0240	28
ALS2	0.7417	mast cell	0.5810	28
CASP10	0.7524	natural killer cell	0.8422	28
CFLAR	0.7425	monocyte	7.6608	28
TFPI	0.9191	fibroblast	7.8456	28
NDUFAF7	0.7814	innate lymphoid cell	1.0608	28
RBM5	0.5553	innate lymphoid cell	2.0138	28
MTMR7	0.8528	type L enteroendocrine cell	0.1881	28
SLC7A2	0.9557	myofibroblast cell	2.7872	28
ARF5	0.6496	intestinal crypt stem cell of colon	0.7065	28
SARM1	0.8107	innate lymphoid cell	0.2413	28
