gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T cell	endothelial cell of arteriole	endothelial cell of lymphatic vessel	endothelial cell of venule	enterocyte of epithelium proper of duodenum	enterocyte of epithelium proper of ileum	enterocyte of epithelium proper of jejunum	enterocyte of epithelium proper of small intestine	enteroendocrine cell of small intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of small intestine	intestinal tuft cell	macrophage	mast cell	monocyte	myeloid dendritic cell	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	neutrophil	paneth cell of epithelium of small intestine	pericyte	plasma cell	regulatory T cell	small intestine goblet cell	transit amplifying cell of small intestine
TSPAN6	0.0000	0.0988	0.0020	0.0019	0.0000	0.0066	0.2168	0.1883	0.5217	0.1606	0.1900	0.0837	0.0797	0.1430	0.1580	0.1117	0.0000	0.0000	0.2684	0.0168	0.0049	0.0073	0.0000	0.0000	0.0261	0.0000	0.0000	0.0000	0.3461	0.0000	0.0094	0.0000	0.0583	0.0568
TNMD	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0480	0.0000	0.0084	0.0009	0.0002	0.0000	0.0015	0.0000	0.0098	0.0854	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000
DPM1	0.5452	0.4220	0.5466	0.6229	0.5993	0.5249	0.5872	0.4821	0.6431	0.3736	0.5023	0.5494	0.2715	0.4149	0.7809	0.5208	0.6469	0.7002	0.4456	0.3105	0.4043	0.4178	0.4888	0.1822	0.3557	0.5402	0.6815	0.1480	0.4163	0.7066	0.3371	0.2287	0.4337	0.3951
SCYL3	0.1259	0.2384	0.1107	0.1264	0.1573	0.1588	0.1316	0.1572	0.2424	0.1775	0.1426	0.2261	0.0774	0.1139	0.1650	0.0905	0.2605	0.1178	0.1545	0.2750	0.0663	0.0239	0.0739	0.0554	0.0960	0.1830	0.2918	0.0183	0.0781	0.0781	0.0640	0.0000	0.1615	0.1597
FIRRM	0.0724	0.0222	0.0206	0.0250	0.0456	0.0645	0.0545	0.0187	0.1448	0.0245	0.0177	0.0740	0.0133	0.0179	0.0497	0.0308	0.0626	0.0202	0.0402	0.0801	0.0830	0.0339	0.0346	0.0000	0.0310	0.1107	0.0173	0.0236	0.0110	0.0178	0.0115	0.3956	0.0326	0.1068
FGR	0.0683	0.0000	0.0027	0.0084	0.0119	0.0102	0.2599	0.0337	0.4197	0.0002	0.0005	0.0000	0.0004	0.0000	0.0000	0.0113	0.3331	0.0383	0.0000	0.0000	0.7372	0.0590	2.6053	0.4771	0.0000	0.0000	0.2028	5.9570	0.0003	0.0000	0.0135	0.0000	0.0016	0.0000
CFH	0.0000	0.0000	0.0256	0.0054	0.0254	0.0152	0.4122	0.4307	0.2482	0.0001	0.0000	0.0000	0.0125	0.0014	0.0000	2.8590	0.0279	0.2653	0.0009	0.0000	0.0872	0.0000	0.0000	0.0000	0.3321	0.0232	0.0207	0.0120	0.0026	1.7475	0.0009	0.0000	0.0021	0.0000
FUCA2	0.0486	0.2594	0.0394	0.0373	0.0882	0.0471	0.1692	0.4184	0.1288	0.2460	0.3390	0.2427	0.2302	0.1953	0.3101	0.6463	0.0681	0.1550	0.4137	0.2596	0.5280	0.2646	0.2490	0.2520	0.4168	0.0348	0.1555	0.0000	0.4837	0.2515	0.2404	0.0000	0.1107	0.3042
GCLC	0.2541	1.4386	0.3069	0.4210	0.3251	0.3478	0.2656	0.3775	0.3025	1.5998	0.7765	1.9460	1.0618	1.4687	0.1191	0.4664	0.4932	0.4212	0.8321	1.3827	1.5087	0.2900	0.3726	2.4256	0.5283	0.1852	0.5262	0.4863	1.5814	0.1291	0.0713	0.4997	0.4894	0.8227
NFYA	0.2059	0.2646	0.2118	0.2383	0.3693	0.2549	0.3011	0.2372	0.3113	0.2084	0.2075	0.3043	0.1518	0.2805	0.0779	0.2528	0.1994	0.7712	0.2008	0.4243	0.1687	0.3285	0.1329	0.1424	0.2531	0.1491	0.3534	0.1537	0.1485	0.1659	0.1736	0.2850	0.1837	0.4057
STPG1	0.0725	0.1464	0.0729	0.0758	0.0591	0.0746	0.0722	0.1397	0.1197	0.1285	0.1700	0.1013	0.0733	0.0692	0.0093	0.0545	0.0598	0.0000	0.0866	0.1667	0.0148	0.0540	0.0080	0.0000	0.1020	0.0545	0.0807	0.0063	0.0645	0.0450	0.0556	0.0000	0.2029	0.0572
NIPAL3	0.1430	0.4279	0.3534	0.4813	0.3355	0.3066	0.2250	0.2006	0.1509	0.2484	0.3011	0.4031	0.1715	0.3081	0.0711	0.1175	0.3938	0.1399	0.3357	0.4477	0.0440	0.1723	0.1062	0.0000	0.3240	0.5357	0.4070	0.0630	0.2064	0.1356	0.1421	0.1419	0.3648	0.1257
LAS1L	0.2070	0.0789	0.1639	0.1606	0.1263	0.2237	0.1430	0.1898	0.1692	0.0652	0.0559	0.0874	0.0934	0.1066	0.1552	0.1786	0.2257	0.3278	0.1342	0.1387	0.1407	0.3207	0.1579	0.2100	0.2411	0.0683	0.1296	0.0000	0.1122	0.2112	0.1056	0.3798	0.0914	0.0890
ENPP4	0.1852	0.1729	0.1488	0.1774	0.1750	0.1829	0.1018	0.1929	0.4206	0.1428	0.1717	0.1219	0.0553	0.1508	0.0794	0.0539	0.1587	0.1573	0.0924	0.3033	0.0866	0.4296	0.1564	0.1114	0.1828	0.0272	0.1926	0.0306	0.1162	0.0000	0.0367	0.1422	0.1400	0.0241
SEMA3F	0.0046	0.0428	0.0018	0.0021	0.0000	0.0006	0.8846	0.0631	0.2742	0.0501	0.0175	0.1635	0.0849	0.0443	0.0000	0.0179	0.0000	0.0202	0.1152	0.1319	0.0064	0.0000	0.0130	0.0000	0.0301	0.0000	0.0000	0.0000	0.0334	0.0000	0.0024	0.0000	0.0926	0.0907
CFTR	0.0032	22.5958	0.0020	0.0171	0.0039	0.0098	0.0054	0.0660	0.0632	0.8913	0.3986	1.6632	1.0710	0.2079	0.0121	0.0148	0.0000	0.0861	1.7807	0.2490	0.0623	0.3343	0.0200	0.0000	0.0000	0.0000	0.0195	0.0429	1.0974	0.0000	0.0740	0.0000	0.3073	1.9917
ANKIB1	0.9958	0.9699	0.7317	0.9582	0.8159	0.9800	0.6890	1.5390	0.8479	0.7242	0.7842	1.3744	0.3360	0.9646	0.9854	0.7557	1.0041	1.8619	0.6673	1.6085	0.7208	0.9398	0.4833	0.7485	1.2330	0.6864	1.3625	0.4715	0.4645	0.8643	0.5287	0.8278	0.7622	0.7477
CYP51A1	0.1272	0.1446	0.1167	0.1264	0.0510	0.1109	0.1301	0.0831	0.0657	0.1250	0.2418	0.1286	0.0987	0.1002	0.2578	0.1069	0.1221	0.2121	0.1312	0.1555	0.0175	0.1337	0.0258	0.0000	0.0741	0.0912	0.0958	0.0530	0.1933	0.2195	0.0630	0.2060	0.1622	0.1267
KRIT1	0.2415	0.3014	0.1521	0.2328	0.3048	0.3259	0.2790	0.4252	0.5656	0.2294	0.2020	0.3191	0.4010	0.2356	0.1688	0.2923	0.2279	0.3126	0.2224	0.3331	0.1940	0.1722	0.1406	0.0874	0.3228	0.1464	0.3243	0.0482	0.1512	0.3245	0.1603	0.4022	0.2700	0.3486
