gene	cell_state	score	margin
ADAM28	B cell	7.5947	0.5847
ADAM7-AS1	B cell	5.4741	0.8208
ADGRE5	B cell	9.9059	1.9538
ANKRD13A	B cell	2.1652	1.0496
ANKRD33B	B cell	2.7709	0.7024
ANKRD44	B cell	9.0771	1.7988
AP3S1	B cell	1.7219	0.4574
ARHGAP24	B cell	12.9883	8.9336
ARHGAP25	B cell	2.3803	0.8275
ARHGEF18	B cell	2.3010	0.5317
ARID5B	B cell	14.7611	2.4058
B3GLCT	B cell	0.8300	0.3116
BACH2	B cell	23.4992	12.9576
BANK1	B cell	10.2038	9.6836
BCL11A	B cell	2.6159	1.5163
BLK	B cell	3.1082	2.4044
C12orf42	B cell	1.0173	0.6678
CASD1	B cell	1.0536	0.3560
CCR7	B cell	3.4598	0.7546
CD22	B cell	0.7621	0.3061
CD37	B cell	4.7824	2.0154
CD79A	B cell	6.7327	5.4173
CD83	B cell	12.5123	3.0275
CHPT1	B cell	4.6235	2.1557
CLECL1P	B cell	1.7833	0.8194
CNPPD1	B cell	0.5882	0.2831
CNTRL	B cell	1.7845	0.6140
CXCR5	B cell	0.5704	0.3653
E2F5	B cell	0.5618	0.2514
EIF1AY	B cell	0.8051	0.3791
ENSG00000226571	B cell	1.3161	0.8474
ENSG00000251309	B cell	0.9943	0.9430
ENSG00000285639	B cell	0.5985	0.4320
EZR	B cell	26.3653	4.5425
FAM107B	B cell	8.5008	0.9608
FBXW11	B cell	2.2971	0.3568
FCRL1	B cell	1.4801	1.3598
FYTTD1	B cell	1.6196	0.7060
GEN1	B cell	0.7215	0.3380
GNG7	B cell	14.2898	7.1249
HIPK2	B cell	12.0956	4.0835
HVCN1	B cell	0.7538	0.4410
IGHD	B cell	0.5767	0.4917
INPP5A	B cell	3.9703	1.1673
ITSN2	B cell	4.1056	0.9576
JADE3	B cell	1.4922	1.0471
KCNQ5	B cell	2.0930	0.2767
KDM4B	B cell	1.5384	0.2537
KRAS	B cell	2.0494	0.2977
LINC00426	B cell	0.8734	0.4142
LINC00926	B cell	1.8056	1.7051
LINC01781	B cell	1.3503	1.0938
LINC01857	B cell	0.7205	0.7137
LINC02397	B cell	0.6206	0.5570
LMBRD1	B cell	2.1362	0.2702
LNCRNA-IUR	B cell	2.2843	0.6058
LY86-AS1	B cell	0.8558	0.7126
LY9	B cell	10.8597	8.7160
MARCHF1	B cell	3.3476	1.0054
MARCHF8	B cell	1.6502	0.7923
MEF2C	B cell	8.7212	1.6991
