gene	tau	top_cell_state	top_expr	n_states
TSPAN6	0.8702	endothelial cell of venule	0.5217	34
TNMD	0.9746	fibroblast	0.0854	34
DPM1	0.4006	enteroglial cell	0.7809	34
SCYL3	0.5526	natural killer cell	0.2918	34
FIRRM	0.8917	regulatory T cell	0.3956	34
FGR	0.9731	neutrophil	5.9570	34
CFH	0.9608	fibroblast	2.8590	34
FUCA2	0.6724	fibroblast	0.6463	34
GCLC	0.7239	myeloid dendritic cell	2.4256	34
NFYA	0.6956	innate lymphoid cell	0.7712	34
STPG1	0.6573	small intestine goblet cell	0.2029	34
NIPAL3	0.5590	naive thymus-derived CD4-positive, alpha-beta T cell	0.5357	34
LAS1L	0.6084	regulatory T cell	0.3798	34
ENPP4	0.6832	mast cell	0.4296	34
SEMA3F	0.9554	endothelial cell of arteriole	0.8846	34
CFTR	0.9859	BEST4+ enterocyte	22.5958	34
ANKIB1	0.5350	innate lymphoid cell	1.8619	34
CYP51A1	0.5486	enteroglial cell	0.2578	34
KRIT1	0.5553	endothelial cell of venule	0.5656	34
RAD52	0.6588	endothelial cell of arteriole	0.3334	34
BAD	0.5257	myofibroblast cell	0.4333	34
LAP3	0.7257	pericyte	1.5745	34
CD99	0.8327	fibroblast	0.0008	34
HS3ST1	0.9127	endothelial cell of lymphatic vessel	0.8457	34
AOC1	0.9442	intestinal tuft cell	6.2244	34
WNT16	0.9261	B cell	0.0356	34
HECW1	0.9619	pericyte	0.5125	34
MAD1L1	0.9228	myeloid dendritic cell	0.0678	34
LASP1	0.5930	intestinal tuft cell	1.6220	34
SNX11	0.5762	pericyte	0.1776	34
TMEM176A	0.8993	enteroglial cell	4.0455	34
M6PR	0.5583	monocyte	1.0503	34
KLHL13	0.7170	fibroblast	0.4325	34
CYP26B1	0.9853	endothelial cell of arteriole	1.3886	34
ICA1	0.7971	small intestine goblet cell	2.5357	34
DBNDD1	0.8310	endothelial cell of lymphatic vessel	0.0278	34
ALS2	0.7007	mast cell	0.6975	34
CASP10	0.7256	BEST4+ enterocyte	1.0042	34
CFLAR	0.6195	neutrophil	5.8879	34
TFPI	0.9652	endothelial cell of lymphatic vessel	30.5069	34
NDUFAF7	0.6979	regulatory T cell	0.7056	34
RBM5	0.4507	intestinal tuft cell	1.5549	34
MTMR7	0.8699	myofibroblast cell	0.1885	34
SLC7A2	0.9809	pericyte	3.2723	34
ARF5	0.6612	neutrophil	1.0124	34
SARM1	0.7923	regulatory T cell	0.2497	34
POLDIP2	0.7339	pericyte	0.6128	34
PLXND1	0.8374	endothelial cell of venule	1.1146	34
AK2	0.5619	paneth cell of epithelium of small intestine	1.0026	34
CD38	0.8896	plasma cell	2.1643	34
FKBP4	0.5665	enterocyte of epithelium proper of jejunum	0.5849	34
KDM1A	0.3872	intestinal crypt stem cell of small intestine	0.5933	34
RBM6	0.5020	enterocyte of epithelium proper of jejunum	4.0056	34
CAMKK1	0.8423	B cell	0.5215	34
RECQL	0.6557	endothelial cell of arteriole	0.8528	34
VPS50	0.5420	endothelial cell of lymphatic vessel	0.7126	34
HSPB6	0.9867	myofibroblast cell	1.7328	34
ARHGAP33	0.7715	gamma-delta T cell	0.0820	34
NDUFAB1	0.6828	paneth cell of epithelium of small intestine	1.6782	34
PDK4	0.8009	pericyte	17.7601	34
SLC22A16	0.9438	neutrophil	0.0671	34
ZMYND10	0.9316	mast cell	0.0304	34
