gene	Epi|Best4+ Enterocytes	Epi|Cycling TA	Epi|Enterocyte Progenitors	Epi|Enterocytes	Epi|Enteroendocrine	Epi|Goblet	Epi|Immature Enterocytes 1	Epi|Immature Enterocytes 2	Epi|Immature Goblet	Epi|M cells	Epi|Secretory TA	Epi|Stem	Epi|TA 1	Epi|TA 2	Epi|Tuft	LP|CD4+ Activated Fos-hi	LP|CD4+ Activated Fos-lo	LP|CD4+ Memory	LP|CD4+ PD1+	LP|CD8+ IELs	LP|CD8+ IL17+	LP|CD8+ LP	LP|CD69+ Mast	LP|CD69- Mast	LP|Cycling B	LP|Cycling Monocytes	LP|Cycling T	LP|DC1	LP|DC2	LP|Endothelial	LP|Follicular	LP|GC	LP|Glia	LP|ILCs	LP|Inflammatory Fibroblasts	LP|Inflammatory Monocytes	LP|MT-hi	LP|Macrophages	LP|Microvascular	LP|Myofibroblasts	LP|NKs	LP|Pericytes	LP|Plasma	LP|Post-capillary Venules	LP|RSPO3+	LP|Tregs	LP|WNT2B+ Fos-hi	LP|WNT2B+ Fos-lo 1	LP|WNT2B+ Fos-lo 2	LP|WNT5B+ 1	LP|WNT5B+ 2
7SK	0.0008	0.0011	0.0009	0.0000	0.0327	0.0000	0.0014	0.0004	0.0011	0.0000	0.0007	0.0008	0.0007	0.0001	1.0847	0.0035	0.0016	0.0043	0.0000	0.0181	0.0000	0.0187	0.0368	0.0000	0.0324	0.0109	0.0020	0.0093	0.0138	0.0659	0.0471	0.0529	0.0045	0.0138	0.0025	0.0244	0.0000	0.0224	0.0361	0.0000	0.0374	0.0031	0.0237	0.0132	0.0000	0.0016	0.0018	0.0000	0.0000	0.0008	0.0053
A1BG	0.0001	0.0011	0.0002	0.0001	0.0000	0.0010	0.0010	0.0003	0.0001	0.0000	0.0010	0.0022	0.0041	0.0001	0.0238	0.0176	0.0186	0.0206	0.0000	0.0090	0.0433	0.0175	0.0131	0.0000	0.0034	0.0000	0.0026	0.0028	0.0077	0.0079	0.0134	0.0047	0.0159	0.0205	0.0051	0.0088	0.0000	0.0073	0.0102	0.0207	0.0142	0.0149	0.0052	0.0028	0.0000	0.0134	0.0102	0.0142	0.0187	0.0088	0.0156
A1BG-AS1	0.0000	0.0004	0.0000	0.0000	0.0000	0.0004	0.0000	0.0001	0.0000	0.0000	0.0002	0.0000	0.0007	0.0000	0.0000	0.0508	0.0452	0.0344	0.1055	0.0929	0.1949	0.0603	0.0229	0.0000	0.0216	0.0396	0.0380	0.0491	0.0372	0.0179	0.0483	0.0496	0.1481	0.1116	0.0754	0.0138	0.0315	0.0430	0.0684	0.0765	0.0590	0.1564	0.0272	0.0115	0.1131	0.0633	0.0746	0.1008	0.0702	0.0745	0.0865
A1CF	0.6738	0.1662	0.4995	0.2947	0.5962	0.2079	0.2113	0.4571	0.2546	0.2823	0.1691	0.1286	0.2300	0.2752	0.1485	0.0033	0.0032	0.0018	0.0000	0.0084	0.0000	0.0016	0.0028	0.0000	0.0027	0.0000	0.0058	0.0026	0.0022	0.0031	0.0006	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0006	0.0000	0.0004	0.0000	0.0000	0.0015	0.0019	0.0000	0.0016	0.0010	0.0012	0.0000	0.0000	0.0013
A2M	0.0005	0.0002	0.0000	0.0000	0.0000	0.0000	0.0008	0.0001	0.0004	0.0000	0.0002	0.0005	0.0005	0.0000	0.0000	0.0914	0.0791	0.0780	0.0350	0.0671	0.0547	0.0851	0.1174	0.0000	0.0726	2.0528	0.0503	0.1221	0.3289	12.8502	0.0596	0.0525	0.8637	0.0128	6.2909	0.0496	0.0947	1.7740	9.7847	8.1876	0.0651	7.0825	0.1031	6.4144	11.2636	0.0766	11.8225	12.2235	14.6150	7.3645	8.6580
A2M-AS1	0.0004	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0003	0.0011	0.0001	0.0000	0.0410	0.0403	0.0359	0.0000	0.1201	0.0198	0.1678	0.1529	0.0671	0.0018	0.0141	0.0123	0.0000	0.0183	0.0072	0.0039	0.0000	0.0245	0.0111	0.0051	0.0088	0.0372	0.0086	0.0065	0.0353	0.1679	0.0134	0.0020	0.0058	0.0000	0.0036	0.0127	0.0143	0.0198	0.0491	0.0182
A2ML1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0009	0.0001	0.0000	0.0023	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0034	0.0000	0.0000	0.0025	0.0000	0.0035	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0008	0.0000	0.0000	0.0002	0.0000	0.0000	0.0022	0.0000	0.0005	0.0000	0.0010	0.0001
A4GALT	0.0005	0.0000	0.0000	0.0010	0.0045	0.0000	0.0000	0.0000	0.0002	0.0000	0.0001	0.0000	0.0000	0.0000	0.0422	0.0049	0.0003	0.0033	0.0235	0.0051	0.0000	0.0019	0.0074	0.0000	0.2595	0.0254	0.0126	0.0040	0.0415	0.6233	0.0304	0.5594	0.0046	0.1453	0.6515	0.0053	0.0000	0.0128	0.7974	0.3654	0.0183	0.3679	0.0041	0.5282	0.6203	0.0024	0.4855	0.5496	0.3126	0.1979	0.2522
AAAS	0.0922	0.2758	0.1319	0.0289	0.0974	0.0475	0.0215	0.0653	0.1455	0.1530	0.1592	0.1716	0.1918	0.1658	0.1861	0.1132	0.0966	0.1056	0.1217	0.1951	0.0573	0.1218	0.1014	0.2425	0.2437	0.1304	0.3166	0.1139	0.1331	0.1617	0.0978	0.1379	0.2550	0.0823	0.2465	0.0562	0.1535	0.0838	0.2069	0.2717	0.1351	0.2603	0.0997	0.1182	0.2554	0.1213	0.1911	0.2399	0.1869	0.2993	0.3142
AACS	0.0777	0.1694	0.0974	0.0244	0.1461	0.0753	0.0264	0.0942	0.1825	0.0607	0.1597	0.1060	0.1356	0.1442	0.1970	0.0441	0.0462	0.0446	0.0607	0.0791	0.0629	0.0539	0.0339	0.0000	0.0723	0.0110	0.0326	0.0141	0.0322	0.0638	0.0255	0.0430	0.0602	0.1214	0.0782	0.0085	0.2271	0.0332	0.0672	0.0504	0.0731	0.0387	0.0414	0.0496	0.0725	0.0364	0.0578	0.0670	0.0661	0.0638	0.0654
AADAC	0.0006	0.0021	0.0017	0.0000	0.0000	0.0000	0.0000	0.0018	0.0018	0.0049	0.0008	0.0004	0.0032	0.0030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AADAT	0.0088	0.0445	0.0042	0.0017	0.0089	0.0023	0.0043	0.0019	0.0223	0.0281	0.0262	0.0369	0.0296	0.0200	0.0040	0.0016	0.0058	0.0041	0.0000	0.0056	0.0000	0.0022	0.0000	0.0000	0.0031	0.0000	0.0000	0.0091	0.0023	0.0011	0.0018	0.0000	0.0238	0.0000	0.0311	0.0000	0.0000	0.0010	0.0000	0.0318	0.0065	0.0264	0.0022	0.0028	0.0164	0.0093	0.0224	0.0351	0.0339	0.0371	0.0482
AAED1	0.0184	0.0286	0.0220	0.0051	0.2431	0.0061	0.0025	0.0129	0.0105	0.0164	0.0260	0.0432	0.0292	0.0325	0.0085	0.2677	0.3058	0.2060	0.2074	0.2285	0.4040	0.2940	0.4543	0.5521	0.0787	0.3911	0.2683	0.4546	0.3377	0.6421	0.3418	0.0780	0.4837	0.3839	0.4523	0.3408	0.1785	0.3856	0.6263	0.2874	0.2940	0.5648	0.1543	0.4869	0.3735	0.2022	0.3601	0.3194	0.2785	0.4443	0.3592
AAGAB	0.1669	0.1388	0.1738	0.1334	0.2009	0.1287	0.1190	0.1895	0.1123	0.1678	0.1151	0.0836	0.1357	0.1354	0.0826	0.1783	0.1198	0.0996	0.0789	0.1832	0.1493	0.1375	0.0545	0.8549	0.1368	0.1077	0.2701	0.0858	0.0973	0.1619	0.0865	0.1555	0.0314	0.1713	0.1825	0.0935	0.0868	0.1001	0.1550	0.1316	0.1620	0.1372	0.0441	0.1708	0.1191	0.1977	0.1482	0.1633	0.1575	0.1777	0.1914
