gene	cell_state	score	margin
A1CF	Epi|Best4+ Enterocytes	1.5984	0.2864
AC012146.7	Epi|Best4+ Enterocytes	1.9057	0.4589
AC069277.2	Epi|Best4+ Enterocytes	3.1980	inf
ADAMTS14	Epi|Best4+ Enterocytes	6.2215	2.6269
ADCY5	Epi|Best4+ Enterocytes	6.7364	0.8157
B9D2	Epi|Best4+ Enterocytes	1.5000	0.4224
BEND5	Epi|Best4+ Enterocytes	3.6468	0.5951
BEST4	Epi|Best4+ Enterocytes	8.6250	inf
C4BPA	Epi|Best4+ Enterocytes	4.3199	1.2013
CA7	Epi|Best4+ Enterocytes	7.8974	inf
CCNYL1	Epi|Best4+ Enterocytes	3.1426	0.7781
CDK18	Epi|Best4+ Enterocytes	3.5966	0.3086
CEACAM3	Epi|Best4+ Enterocytes	7.2639	inf
CPA6	Epi|Best4+ Enterocytes	3.0249	0.9721
DHX35	Epi|Best4+ Enterocytes	1.7561	0.9525
DMBT1	Epi|Best4+ Enterocytes	2.3002	0.6704
DNASE2	Epi|Best4+ Enterocytes	2.0023	0.2813
DOCK8	Epi|Best4+ Enterocytes	2.9078	1.5579
GAL3ST1	Epi|Best4+ Enterocytes	1.5534	0.4066
GPER1	Epi|Best4+ Enterocytes	2.2603	inf
HES4	Epi|Best4+ Enterocytes	4.6661	0.2703
HR	Epi|Best4+ Enterocytes	1.6075	0.5749
LBH	Epi|Best4+ Enterocytes	3.4437	1.5211
LUZP2	Epi|Best4+ Enterocytes	4.7697	inf
MAP7D3	Epi|Best4+ Enterocytes	1.8164	0.3342
MEIS1	Epi|Best4+ Enterocytes	6.2864	2.3647
METTL21A	Epi|Best4+ Enterocytes	2.7676	0.6730
MMEL1	Epi|Best4+ Enterocytes	1.9996	1.0202
MSLN	Epi|Best4+ Enterocytes	6.3206	1.5541
MT1F	Epi|Best4+ Enterocytes	2.1182	0.5654
MT1HL1	Epi|Best4+ Enterocytes	2.4821	0.5050
MT1X	Epi|Best4+ Enterocytes	2.3767	0.8282
MYOM1	Epi|Best4+ Enterocytes	6.1002	4.3340
NBPF10	Epi|Best4+ Enterocytes	3.7333	1.5084
NBPF12	Epi|Best4+ Enterocytes	1.9082	1.4236
NBPF14	Epi|Best4+ Enterocytes	4.6962	inf
NBPF9	Epi|Best4+ Enterocytes	2.8041	0.5853
NCOA1	Epi|Best4+ Enterocytes	1.3721	0.2806
NEURL	Epi|Best4+ Enterocytes	3.9982	1.5127
NOTCH2	Epi|Best4+ Enterocytes	3.9018	1.3722
NOTCH2NL	Epi|Best4+ Enterocytes	3.5586	1.8941
NPY1R	Epi|Best4+ Enterocytes	1.8844	0.8777
OSBPL8	Epi|Best4+ Enterocytes	1.8555	0.3791
OTOP2	Epi|Best4+ Enterocytes	8.2803	inf
OTOP3	Epi|Best4+ Enterocytes	9.1327	inf
PLEKHA8	Epi|Best4+ Enterocytes	1.9610	1.4758
PROX1	Epi|Best4+ Enterocytes	4.1730	0.7248
RHOV	Epi|Best4+ Enterocytes	3.4339	2.1931
RP11-357C3.3	Epi|Best4+ Enterocytes	3.0765	1.4537
RP11-416N2.4	Epi|Best4+ Enterocytes	3.9724	inf
RP11-44N21.1	Epi|Best4+ Enterocytes	1.8043	0.8033
RP11-771K4.1	Epi|Best4+ Enterocytes	5.5108	inf
SAMD9L	Epi|Best4+ Enterocytes	2.5358	0.6151
SCIN	Epi|Best4+ Enterocytes	2.4999	0.5064
SCRN1	Epi|Best4+ Enterocytes	4.5424	2.9656
SMARCAL1	Epi|Best4+ Enterocytes	1.5831	0.4159
SSTR1	Epi|Best4+ Enterocytes	1.3700	0.2700
SULT1E1	Epi|Best4+ Enterocytes	5.8298	inf
TBL1X	Epi|Best4+ Enterocytes	1.9538	0.4512
TGFB1	Epi|Best4+ Enterocytes	5.7324	3.3870
TIAM1	Epi|Best4+ Enterocytes	3.2368	0.9785
TLDC2	Epi|Best4+ Enterocytes	1.4766	0.4916
TMEM117	Epi|Best4+ Enterocytes	1.6553	inf
TNRC6C-AS1	Epi|Best4+ Enterocytes	1.3932	0.3883
TRIM10	Epi|Best4+ Enterocytes	2.2589	inf
UNC5C	Epi|Best4+ Enterocytes	6.1949	1.9737
USP13	Epi|Best4+ Enterocytes	2.9553	0.7757
ZNF232	Epi|Best4+ Enterocytes	1.5526	0.3063
ZNF764	Epi|Best4+ Enterocytes	1.5929	0.7046
AADAT	Epi|Cycling TA	2.1041	inf
AARS2	Epi|Cycling TA	1.3746	0.6496
ABCB10	Epi|Cycling TA	1.1697	0.2713
AC002116.7	Epi|Cycling TA	2.7169	inf
AC004069.2	Epi|Cycling TA	1.5299	inf
AC005076.5	Epi|Cycling TA	1.0697	0.5476
AC008982.2	Epi|Cycling TA	0.6504	inf
