gene	tau	top_cell_state	top_expr	n_states
7SK	0.9899	Epi|Tuft	1.0847	51
A1BG	0.8242	LP|CD8+ IL17+	0.0433	51
A1BG-AS1	0.7824	LP|CD8+ IL17+	0.1949	51
A1CF	0.8822	Epi|Best4+ Enterocytes	0.6738	51
A2M	0.8518	LP|WNT2B+ Fos-lo 2	14.6150	51
A2M-AS1	0.8832	LP|NKs	0.1679	51
A2ML1	0.9120	LP|Glia	0.0035	51
A4GALT	0.8451	LP|Microvascular	0.7974	51
AAAS	0.5146	LP|Cycling T	0.3166	51
AACS	0.6947	LP|MT-hi	0.2271	51
AADAC	0.9375	Epi|M cells	0.0049	51
AADAT	0.7674	LP|WNT5B+ 2	0.0482	51
AAED1	0.6153	LP|Endothelial	0.6421	51
AAGAB	0.8407	LP|CD69- Mast	0.8549	51
AAK1	0.7853	LP|CD8+ IL17+	1.1719	51
AAMDC	0.6991	LP|Glia	1.4838	51
AAMP	0.4188	LP|RSPO3+	1.0247	51
AANAT	nan	Epi|Best4+ Enterocytes	0.0000	51
AAR2	0.5498	LP|Endothelial	0.2168	51
AARD	0.9720	LP|CD69- Mast	0.6507	51
AARS	0.6104	LP|Glia	0.3887	51
AARS2	0.7880	LP|CD4+ PD1+	0.1100	51
AARSD1	0.8076	LP|ILCs	0.7151	51
AASDH	0.5711	LP|Glia	0.2490	51
AASDHPPT	0.5054	LP|Glia	0.3720	51
AASS	0.8054	LP|WNT5B+ 1	0.1502	51
AATF	0.5588	LP|Cycling T	0.6682	51
AATK	0.9638	LP|Glia	0.4024	51
ABAT	0.7637	LP|CD8+ IL17+	0.1681	51
ABCA1	0.7829	LP|Macrophages	0.6333	51
ABCA10	0.8979	LP|WNT2B+ Fos-lo 2	0.2202	51
ABCA12	0.9906	Epi|M cells	0.0937	51
ABCA13	0.8994	Epi|Goblet	0.0045	51
ABCA2	0.7639	Epi|Enteroendocrine	0.2185	51
ABCA3	0.9077	LP|Microvascular	0.1244	51
